iter	Passed	Remaining
794	8751	2256
795	8762	2245
796	8771	2234
797	8780	2222
798	8790	2211
799	8798	2199
800	8810	2188
801	8820	2177
802	8829	2166
803	8840	2155
804	8852	2144
805	8864	2133
806	8877	2123
807	8886	2111
808	8891	2099
809	8899	2087
810	8914	2077
811	8926	2066
812	8937	2055
813	8946	2044
814	8955	2032
815	8966	2021
816	8977	2010
817	8987	1999
818	8997	1988
819	9007	1977
820	9017	1966
821	9026	1954
822	9037	1943
823	9049	1932
824	9058	1921
825	9069	1910
826	9079	1899
827	9089	1888
828	9099	1876
829	9108	1865
830	9117	1854
831	9127	1843
832	9137	1831
833	9148	1820
834	9156	1809
835	9165	1798
836	9175	1786
837	9185	1775
838	9195	1764
839	9204	1753
840	9214	1742
841	9225	1731
842	9235	1720
843	9247	1709
844	9261	1698
845	9271	1687
846	9283	1676
847	9293	1665
848	9302	1654
849	9315	1643
850	9326	1633
851	9343	1623
852	9354	1612
853	9364	1601
854	9379	1590
855	9388	1579
856	9399	1568
857	9410	1557
858	9427	1547
859	9437	1536
860	9447	1525
861	9459	1514
862	9469	1503
863	9478	1492
864	9491	1481
865	9501	1470
866	9512	1459
867	9519	1447
868	9530	1436
869	9539	1425
870	9551	1414
871	9564	1404
872	9574	1392
873	9584	1381
874	9594	1370
875	9610	1360
876	9622	1349
877	9634	1338
878	9647	1328
879	9664	1317
880	9676	1307
881	9687	1296
882	9699	1285
883	9712	1274
884	9722	1263
885	9730	1252
886	9742	1241
887	9750	1229
888	9756	1218
889	9767	1207
890	9779	1196
891	9790	1185
892	9801	1174
893	9810	1163
894	9815	1151
895	9824	1140
896	9836	1129
897	9847	1118
898	9858	1107
899	9871	1096
900	9881	1085
901	9891	1074
902	9902	1063
903	9913	1052
904	9923	1041
905	9934	1030
906	9943	1019
907	9954	1008
908	9964	997
909	9975	986
910	9986	975
911	9998	964
912	10002	953
913	10012	942
914	10022	931
915	10032	920
916	10043	909
917	10055	898
918	10067	887
919	10077	876
920	10090	865
921	10100	854
922	10112	843
923	10123	832
924	10134	821
925	10145	810
926	10155	799
927	10165	788
928	10175	777
929	10187	766
930	10198	755
931	10206	744
932	10215	733
933	10224	722
934	10235	711
935	10246	700
936	10259	689
937	10269	678
938	10280	667
939	10290	656
940	10302	645
941	10315	635
942	10326	624
943	10337	613
944	10346	602
945	10356	591
946	10367	580
947	10377	569
948	10387	558
949	10396	547
950	10407	536
951	10417	525
952	10427	514
953	10439	503
954	10449	492
955	10459	481
956	10470	470
957	10481	459
958	10491	448
959	10501	437
960	10510	426
961	10521	415
962	10531	404
963	10541	393
964	10551	382
965	10561	371
966	10571	360
967	10582	349
968	10591	338
969	10601	327
970	10610	316
971	10620	305
972	10629	294
973	10639	284
974	10650	273
975	10660	262
976	10670	251
977	10675	240
978	10685	229
979	10695	218
980	10705	207
981	10716	196
982	10727	185
983	10736	174
984	10746	163
985	10757	152
986	10770	141
987	10779	130
988	10791	120
989	10801	109
990	10811	98
991	10817	87
992	10829	76
993	10839	65
994	10850	54
995	10859	43
996	10869	32
997	10880	21
998	10889	10
999	10898	0
