iter	Passed	Remaining
823	8038	1716
824	8049	1707
825	8058	1697
826	8068	1687
827	8078	1678
828	8085	1667
829	8095	1658
830	8103	1648
831	8112	1638
832	8125	1628
833	8135	1619
834	8142	1609
835	8150	1598
836	8160	1589
837	8169	1579
838	8179	1569
839	8189	1559
840	8199	1550
841	8208	1540
842	8218	1530
843	8229	1521
844	8238	1511
845	8248	1501
846	8262	1492
847	8273	1482
848	8283	1473
849	8294	1463
850	8306	1454
851	8317	1444
852	8327	1435
853	8335	1425
854	8344	1415
855	8354	1405
856	8366	1396
857	8377	1386
858	8386	1376
859	8396	1366
860	8406	1357
861	8417	1347
862	8427	1337
863	8437	1328
864	8448	1318
865	8459	1309
866	8470	1299
867	8474	1288
868	8495	1280
869	8504	1270
870	8514	1261
871	8523	1251
872	8532	1241
873	8540	1231
874	8550	1221
875	8564	1212
876	8571	1202
877	8581	1192
878	8588	1182
879	8598	1172
880	8608	1162
881	8617	1152
882	8627	1143
883	8637	1133
884	8646	1123
885	8655	1113
886	8663	1103
887	8673	1093
888	8681	1083
889	8691	1074
890	8705	1065
891	8715	1055
892	8724	1045
893	8736	1035
894	8744	1025
895	8755	1016
896	8764	1006
897	8773	996
898	8784	986
899	8793	977
900	8803	967
901	8813	957
902	8823	947
903	8833	938
904	8843	928
905	8851	918
906	8861	908
907	8869	898
908	8880	889
909	8890	879
910	8905	870
911	8908	859
912	8918	849
913	8926	839
914	8935	830
915	8943	820
916	8952	810
917	8962	800
918	8972	790
919	8983	781
920	8992	771
921	9004	761
922	9014	751
923	9025	742
924	9034	732
925	9044	722
926	9054	712
927	9063	703
928	9074	693
929	9083	683
930	9091	673
931	9108	664
932	9119	654
933	9129	645
934	9144	635
935	9152	625
936	9162	616
937	9172	606
938	9180	596
939	9188	586
940	9197	576
941	9206	566
942	9215	557
943	9224	547
944	9234	537
945	9243	527
946	9256	518
947	9265	508
948	9273	498
949	9281	488
950	9290	478
951	9301	468
952	9310	459
953	9319	449
954	9331	439
955	9340	429
956	9352	420
957	9365	410
958	9375	400
959	9385	391
960	9396	381
961	9406	371
962	9415	361
963	9426	352
964	9435	342
965	9449	332
966	9458	322
967	9467	312
968	9476	303
969	9488	293
970	9497	283
971	9506	273
972	9520	264
973	9529	254
974	9537	244
975	9547	234
976	9553	224
977	9563	215
978	9572	205
979	9582	195
980	9592	185
981	9602	176
982	9613	166
983	9622	156
984	9631	146
985	9641	136
986	9651	127
987	9662	117
988	9672	107
989	9694	97
990	9702	88
991	9713	78
992	9725	68
993	9737	58
994	9746	48
995	9756	39
996	9767	29
997	9794	19
998	9808	9
999	9825	0
